Total unknown suffix patterns: 2748
Modification types in DB: 153
Precision classes in DB: 12

3S\t223\tKR16FXLL/3AS, HMK2218L/3AS, KRV16FLL/3AS, KRV26FLL/3AS, KRV19FLL/3AS
G0306\t1\tEGB0306-E40-Y
G1012\t1\tEGB1012-E40-Z
G1420\t1\tEGB1420-E40-Z
R3035165\t1\t1R30X35X165
G1815\t1\tEGB1815-E40-Y
S6002\t1\tS6002-2RS
G0810\t1\tEGB0810-E50-Y
G4904\t1\tNAG4904UU
PP1512\t1\tPAP1512 P10
S13\t1\tAB40204S13
R4904RC\t1\tRNA4904RCT
RR322P\t1\t203KRR3Z22P
V9106WIP\t1\t3MV9106WIPRLSUL
2DCS21\t1\t35BG5222-2DLCS21
G05S2\t1\t40BG05S2-2DLCS
2DSCS20\t1\t30BG5222-2DSECS20
D622412\t1\t35BD6224T12DDU
G05S16G\t1\t35BG05S16G-2DLCS
065HH1CS18P1\t1\tTM-SX06C45LHXLH1CS18PX1/L588
F206W\t1\tNF206W
R4075\t1\tZARN4075
S6208\t1\tS6208-2RS
110RG\t1\tL68149RGB3/110RGB
S6300\t1\tS6300-2RS
S1545HP2\t1\tBSN1545DDUHP2B
U328\t1\tNU328M
R6002\t1\tLR6002-2RS-HLC
P259742\t1\tNP259742-90KM1
12C01\t1\t35BD6224-A-T12DDUC01
D21012C1\t1\t35BD210T12DDUCG21
W1CC\t1\tB15-69T1XDDW1NCXCE
U236\t1\tNU236M
S014920\t1\tSL014920
G12399R07\t1\tGB12399R07
R142212\t1\tMR142212
H1620C\t1\t7E-HMK1620CT
UCF20R\t1\tNUCF20RAB
U326\t1\tNU326M
H215\t1\tH215
H217\t1\tH217
H218\t1\tH218
H309\t1\tH309
H311\t1\tH311
H313\t1\tH313
H314\t1\tH314
F12\t1\tLMF12UU
F13\t1\tLMF13UU
F16\t1\tLMF16UU
F20\t1\tLMF20UU
F25\t1\tLMF25UU
F30\t1\tLMF30UU
F35\t1\tLMF35UU
F50\t1\tLMF50UU
F60\t1\tLMF60UU
02420R\t1\t02474R/02420R
U2207W\t1\tNU2207W
U2306W\t1\tNU2306W
U2307W\t1\tNU2307W
U2309W\t1\tNU2309W
U2313W\t1\tNU2313W
U2315W\t1\tNU2315W
U304W\t1\tNU304W
U411W\t1\tNU411W
U412W\t1\tNU412W
UP2205W\t1\tNUP2205W
UP2213W\t1\tNUP2213W
5011DS7S5\t1\tRS-5011DSE7NAS5C3
5014DS7S5\t1\tRS-5014DSE7NAS5C3
5022DS7S5\t1\tRS-5022DSE7NAS5C3
S1238\t1\tSET1238
H1012F\t1\tHK1012F
U1032\t1\tNU1032M
SF128\t1\tSMF128ZZ
H2020F\t1\tHK2020F
S250\t1\tSET250
H06\t1\t1AH06-1LLXV6
1V6\t1\t1AH06-1LLXV6
D21912CG47\t1\t40BD219T12DDUCG47
G40246S02\t1\tGB40246S02
G0806\t1\tEGB0806-E40-Y
CF2944V\t1\tNCF2944V
D662412CG31\t1\t40BD6624T12DDUCG31
F18040\t1\tF18040
F19061\t1\tF19061
CF5R\t1\tCF5UURA
UR25R\t1\tNURT25R
H903248\t1\t4T-HM903248/HM903210
S01H206\t1\tEC42217S01H206
UR50110D\t1\tNUTR50110DZ
R3037\t1\t1R30X37,5X16
U1006\t1\tNU1006M
FR16012\t1\tFR160X12,5X5
HCS5186F\t1\tHCST5186LFT
G3\t1\tB15-86AT1XDDG3
SC0788\t1\tSC0788NR
P2281582\t1\tPK22X28X158X2
G1415\t1\tEGB1415-E40-Z
G1212\t1\tEGB1212-E50-Y
G1220\t1\tEGB1220-E50-Y
G1612\t1\tEGB1612-E50-Y
D281612\t1\t12BD2816T12VVCG23
U2212W\t1\tNU2212WC3
D5020\t1\t35BD5020
W22211\t1\tMX-W22211EALLKD1C3
U230\t1\tNU230/C3
D4912CG48S01\t1\t40BD49T12DDUKCG48S01
17G\t1\tF7-17G
F15156\t1\tF15156
IR253016\t1\tIR253016
IR323730\t1\tIR323730
IR354220\t1\tIR354220
IR354236\t1\tIR354236
14G\t1\tF6-14G
IR283230\t1\tIR283230
IR404517\t1\tIR404517
IR404840\t1\tIR404840
IR455240\t1\tIR455240
IR71016\t1\tIR71016
R8V\t1\tMR82XVA
R101812\t1\tMR101812
HC7205\t1\tHCB7205-C-T-P4S-UL
R122012\t1\tMR122012
R122016\t1\tMR122016
R142216\t1\tMR142216
R162412\t1\tMR162412
R182616\t1\tMR182616
R182620\t1\tMR182620
R223020\t1\tMR223020
R243316\t1\tMR243316
R243320\t1\tMR243320
R263516\t1\tMR263516
R263520\t1\tMR263520
R303920\t1\tMR303920
R324116\t1\tMR324116
R567232\t1\tMR567232
DH454\t1\tDH42X52X4
4*\t1\t629-A-4ZZ*MC3E
IR222817\t1\tIR222817
32D05C75**\t1\tZA-32BWD05CA75**
H813840\t1\t4T-HM813840/HM813810
S01H200\t1\tEC42310S01H200
9G\t1\tF4-9G
20G\t1\tF9-20G
R19C\t1\tKR19C
R604\t1\tLR604-2RSR-HLC
UR17R\t1\tNURT17R
UR30R\t1\tNURT30R
910RGP01\t1\tJLM104948RG/910RGP01
**S**\t1\t35BW08C4**SA**
W02\t1\t55KW02
**UR\t1\t30TM11NC3**UR
**S**U\t1\t33TM01NXC3**SA**U-02
GRG6C\t1\tB15-70AT1XGRDDG6C-01
GRG6\t1\tB15-70AT1XGRDDG6-G01
CG\t1\tBD17-31T1XDDUM8CG-01
D20\t1\tBD20-15T12DDWACG28
1512W8\t1\tBD20-15T12DDWACG28
U215W\t1\tNU215WC3
U2210W\t1\tNU2210WC3
U23077\t1\tNU2307ET7
UP2210W\t1\tNUP2210W
CF5024V\t1\tNNCF5024VC3
SUC10P7\t1\t45TAC75BSUC10PN7B
R1C\t1\tNATR12XCT
U306R\t1\tNU306R
F0096S05\t1\tFC40096S05
RV22F\t1\tKRV22FLL/3AS
8G\t1\tF3-8G
CF\t1\tCF-SFU-12-1
IR101420\t1\tIR10X14X20
R556530\t1\t1R55X65X30
G10800\t1\tGB10800
C12238\t1\tEC12238
YSU\t1\t7205A5TYNSUMP4
SU21\t1\t7321BSUA21P6
H88649R\t1\tHM88649R/HM88610R
H88610R\t1\tHM88649R/HM88610R
CS205\t1\tCS205LLU
S185005\t1\tSL185005
S014912\t1\tSL014912
FR11043\t1\tFR110X4X3
H89446\t1\tHM89446/HM89410
H907643\t1\tHM907643/HM907614
H907614\t1\tHM907643/HM907614
W6049\t1\tJW6049/JW6010
W6010\t1\tJW6049/JW6010
H88648\t1\tHM88648/HM88610
W7010\t1\tJW7049/JW7010
W5049\t1\tJW5049/JW5010
W5010\t1\tJW5049/JW5010
H2012F\t1\tHK2012FM
HSCG\t1\t6004BHTSZZCG
DH1193\t1\tDH12X19X3
D5220\t1\t35BD5220
CS45\t1\t83A551BCS45
HCH88648\t1\tHCHM88648/10
D21912WCG\t1\t30BD219T12DDWAXCG-01
C12468S01H206\t1\tEC12468S01H206
S05\t1\tAB40002S05
S1747HP2\t1\tBSN1747DDUHP2B
D3055W\t1\tDAC3055W-3CS31
3CS31\t1\tDAC3055W-3CS31
I59\t1\tNKIB59/22
D3562W\t1\tDAC3562W-10CS51
10CS51\t1\tDAC3562W-10CS51
UP213U\t1\tNUP213ET2XU
S010\t1\tSE010
S012\t1\tSE012
S014\t1\tSE014
S016\t1\tSE016
S020\t1\tSE020
S027\t1\tSE027
S028\t1\tSE028
S034\t1\tSE034
S045\t1\tSE045
S056\t1\tSE056
831R4**\t1\t17887R/831RNES4B**
25520R\t1\t25590R/25520R
28521R\t1\t28584R/28521R
28622R\t1\t28680R/28622R
RP**\t1\tJL69349RPNK**/310R01
310R01\t1\tJL69349RPNK**/310R01
29711R\t1\tLM29749R/LM29711R
011R\t1\tLM603049R/011R
610R4C*01\t1\tM12649R/610RNES4C*01
H0709F\t1\tHK0709FM
G3015\t1\tEGB3015-E40-Z
G3030\t1\tEGB3030-E40-Y
U234\t1\tNU234
U244\t1\tNU244
U340\t1\tNU340/C3
UP2220\t1\tNUP2220
S686\t1\tS686ZZ
H1412F\t1\tHK1412FM
U2211W\t1\tNU2211WC3
CS206\t1\tCS206LLU
R20VR\t1\tNART20VR
P957403\t1\tNP957403-90KA1
H4025\t1\t7E-HMK4025
SC0710S28P1\t1\tEC1-SC07B10LLUACS28PX1/L588
S61805\t1\tS61805-2RSR-HLC
12G\t1\tF5-12G
FC050P2\t1\t4T-T7FC050EWPX2
YS02H206\t1\tEC42192YS02H206
S5070\t1\tAS5070
P245830\t1\tNP245830-902A1
5G\t1\t7903C-5GL-FG-P4
16G\t1\tF8-16G
P159221\t1\tNP159221-99401
SG612\t1\tTSNG612
SR14010\t1\tSR140X10
CF2926V\t1\tNCF2926VC3
UP230\t1\tNUP230EMA
R128\t1\tMR128ZZ1MC3
R63\t1\tMR63ZZMC3E
R52V\t1\tMR52VA
D21912C7\t1\t40BD219T12DDUCG27
F16190\t1\tF16190
F18043\t1\tF18043
F16057\t1\tF16057
G1225\t1\tEGB1225-E40-Z
G1820\t1\tEGB1820-E40-Z
67010R\t1\tLM67048R/LM67010R
310R\t1\tLM501349R/310R
410R4C*01\t1\tL45449R/410RNES4C*01
44610R\t1\tL44649R/L44610R
S6802\t1\tS6802-2RS
P238750\t1\tNP238750-99401
CS15\t1\tCSK15PPC3
CS17\t1\tCSK17PPC3
GW20923+R209RH\t1\tGW209PP23+BR209RH
G40300S03\t1\tGB40300S03
F16189\t1\tF16189
UCF18\t1\tNUCF18AB
D3870W\t1\tDAC3870W-7CS66
7CS66\t1\tDAC3870W-7CS66
CS37\t1\tTMB3/22JR2CS37
CF4R\t1\tCF4RA
IR6810\t1\tIR6810
G0610\t1\tEGB0610-E40-Y
G40721P\t1\tXGB40721P
48510R\t1\tLM48548R/LM48510R
CP15118\t1\tHI-CAP15118/250
W20810\t1\tW208PP10
W2085\t1\tW208PP5
W2086\t1\tW208PP6
W2088\t1\tW208PP8
W20812\t1\tW208PPB12
W20813\t1\tW208PPB13
W2104\t1\tW210PP4
W2115\t1\tW211PP5
W2116\t1\tW211PPB6
H03\t1\t207-XL-KRR-AH03
F609\t1\tF609-2Z
F625\t1\tF625-2RS
S183005\t1\tSL183005
UP204S1\t1\tNUPK204S1
GW2085\t1\tGW208PPB5
GW2086\t1\tGW208PPB6
GW2088\t1\tGW208PPB8
GW2095\t1\tGW209PPB5
GW2098\t1\tGW209PPB8
GW21117\t1\tGW211PP17
GW2092\t1\tGW209PPB2
GW2094\t1\tGW209PPB4
GW20911\t1\tGW209PPB11
GW2102\t1\tGW210PPB2
GW2105\t1\tGW210PPB5
GW2103\t1\tGW210PP3
GW2109\t1\tGW210PP9
GW2118\t1\tGW211PPB8
GW2119\t1\tGW211PPB9
GW21110\t1\tGW211PPB10
GW21113\t1\tGW211PPB13
GW21114\t1\tGW211PPB14
GW21125\t1\tGW211PP25
W2082\t1\tW208PPB2
W2087\t1\tW208PPB7
W20823\t1\tW208PPB23
W2092\t1\tW209PPB2
W2094\t1\tW209PPB4
W2105\t1\tW210PPB5
RR9\t1\t207KRRB9
RR12\t1\t207KRRB12
GW20822\t1\tGW208PPB22
W20816\t1\tW208PPB16
HS10\t1\t30X55X10 HMSA10 V
F602\t1\tF602-2Z
F603\t1\tF603-2Z
F628\t1\tF628/4-2Z
F634\t1\tF634-2Z
F635\t1\tF635-2Z
F636\t1\tF636-2Z
F682\t1\tF682-2Z
FR1\t1\tFR1-5-2Z
FR166\t1\tFR166-2Z
FR2\t1\tFR2-5-2Z
FR4\t1\tFR4-2Z
FR8\t1\tFR8-2Z
R200U\t1\tLR200NPPU
R201U\t1\tLR201NPPU
R203U\t1\tLR203NPPU
R204U\t1\tLR204NPPU
R205U\t1\tLR205NPPU
R206U\t1\tLR206NPPU
R207U\t1\tLR207NPPU
R209U\t1\tLR209NPPU
6U\t1\tLR50/6NPPU
7U\t1\tLR50/7NPPU
R5001U\t1\tLR5001NPPU
R5003U\t1\tLR5003NPPU
R5004U\t1\tLR5004NPPU
R5005U\t1\tLR5005NPPU
R5006U\t1\tLR5006NPPU
R5007U\t1\tLR5007NPPU
R5008U\t1\tLR5008NPPU
R5201U\t1\tLR5201NPPU
R5202U\t1\tLR5202NPPU
R520\t1\tLR5205KDDU
R5207U\t1\tLR5207NPPU
R5208\t1\tLR5208KDDU
R5303U\t1\tLR5303NPPU
R5304U\t1\tLR5304NPPU
R5304\t1\tLR5304KDDU
R5305U\t1\tLR5305NPPU
R530\t1\tLR5305KDDU
R5306U\t1\tLR5306NPPU
R5307U\t1\tLR5307NPPU
R5308U\t1\tLR5308NPPU
R5308\t1\tLR5308KDDU
R6000U\t1\tLR6000NPPU
R6001U\t1\tLR6001NPPU
R605U\t1\tLR605NPPU
R607U\t1\tLR607NPPU
FR5302\t1\tLFR5302KDD
FR5204\t1\tLFR5204-16KDD
FR5206\t1\tLFR5206-20KDD
FR5207\t1\tLFR5207-30KDD
FR5208\t1\tLFR5208-40KDD
F6703\t1\tF6703-2Z
F6704\t1\tF6704-2Z
S045004\t1\tSL045004PP
S045006\t1\tSL045006PP
S045007\t1\tSL045007PP
S045010\t1\tSL045010PP
S045013\t1\tSL045013PP
S045015\t1\tSL045015PP
S045016\t1\tSL045016PP
S045018\t1\tSL045018PP
S045019\t1\tSL045019PP
S045020\t1\tSL045020PP
S045022\t1\tSL045022PP
S045024\t1\tSL045024PP
S6302\t1\tS6302-2RS
H38\t1\tHK3038
P17\t1\tPNA17/35
P22\t1\tPNA22/44
RP35\t1\tRPNA35/52
G8560\t1\tEGB8560-E40-Z
GWR20930\t1\tGWR209PPB30
GWR21121\t1\tGWR211PPB21
S5203\t1\tSL5203-2T
C04\t1\t06C04-2Z
S3303\t1\tSL3303-2S
RR.H05\t1\t203KRR.AH05
U303\t1\tNU303EG15
U2319\t1\tNU2319EG15
G14\t1\t2200G14
CV\t1\t7012CVDUJ74
HG1D\t1\t7208HG1DBJ74
VR522\t1\tJTVR522
H213\t1\tH213
H219\t1\tH219
H314G\t1\tAH314G
H2315\t1\tH2315
H2317\t1\tAHX2317
H3028\t1\tH3028
H3034\t1\tAH3034
H3122\t1\tH3122
H3134\t1\tH3134
H3138\t1\tH3138
H3144\t1\tH3144
H3220\t1\tAHX3220
H24128\t1\tAH24128
H24136\t1\tAH24136
H24144\t1\tAOH24144
US203\t1\tUS203-11G2
US207\t1\tUS207G2
U24\t1\tUC324G2
U5H\t1\tUK305G2H
U6H\t1\tUK306G2H
U7H\t1\tUK307G2H
U8H\t1\tUK308G2H
US211\t1\tUS211G2
US212\t1\tUS212G2
CV204\t1\tCV204
CV205\t1\tCV205
CV206\t1\tCV206
CV207\t1\tCV207
CV208\t1\tCV208
U04FD\t1\tMUC204FD
19FD\t1\tMUC206-19FD
SC201\t1\tSCO201-12
SC202\t1\tSCO202-15
SC203\t1\tSCO203-17
SC204\t1\tSCO204-20
SC208\t1\tSCO208-35
SC04\t1\tSCOE204-20
SC08\t1\tSCOE208-40
SU03\t1\tSUC203
C208\t1\tCES208
CU04\t1\tCUC204
CU05\t1\tCUC205-16
CU07\t1\tCUC207
CU08\t1\tCUC208
CU10\t1\tCUC210-30
CUS205\t1\tCUS205-16
CUS207\t1\tCUS207
CUS208\t1\tCUS208
CUS210\t1\tCUS210
U0820\t1\tUC208G2T20
U1120\t1\tUC211G2T20
S6303\t1\tS6303-2RS
H24132\t1\tAH24132
GH17C\t1\tGEH17C
U1022\t1\tNU1022M
UP219\t1\tNUP219ECP
YR203\t1\tYAR203-2F
YR211\t1\tYAR211-2F
YR214\t1\tYAR214-2F
Y207\t1\tYAT207
Y203\t1\tYET203
Y205\t1\tYET205
U317W\t1\tNU317WC3
FY\t1\t7322BFY
U208R\t1\tNU208R
RY\t1\tLM503349RYA/10
DR\t1\t30315DR
R2080\t1\tRNA2080
SC8151\t1\tSC8A15ZZ1NRC3/7NQ1
15245R\t1\t15123R/15245R
17831R\t1\t17887R/17831R
R324120\t1\tMR324120
UP211U\t1\tNUP211U
SR7\t1\tSMR72ZZ
SR105\t1\tSMR105ZZ
SC0431CS34P1\t1\tSC04A31CS34PX1/2ASQF
UP203U\t1\tNUP203U
U203W\t1\tNU203W
U2308W\t1\tNU2308W
R0708\t1\tTR0708-1R
S25R\t1\tNAST25ZZR
U211R\t1\tNU211RC3
DF037GR\t1\t2DACF037GR
F15003\t1\tF15003
R5200\t1\tLR5200-X-2Z-TVH-XL
RS8\t1\tRNAST8
S12R\t1\tNAST12R
RS17R\t1\tRNAST17R
RS20R\t1\tRNAST20R
RS25\t1\tRNAST25
S40R\t1\tNAST40R
S45R\t1\tNAST45R
S50R\t1\tNAST50R
CF8V\t1\tCF8V
CF8R\t1\tCF8R
CF10R\t1\tCF10R
CF10VR\t1\tCF10VR
R5R\t1\tNART5R
R10R\t1\tNART10R
R10V\t1\tNART10VX
R12VR\t1\tNART12VR
R15V\t1\tNART15VX
R30R\t1\tNART30R
R30VR\t1\tNART30VR
R30V\t1\tNART30VX
R40R\t1\tNART40R
UR45R\t1\tNURT45R
R495\t1\tRNA495
R5902\t1\tRNA5902
R6915\t1\tRNA6915
R4919\t1\tRNA4919
R5903\t1\tRNA5903
R5905\t1\tRNA5905
R5906\t1\tRNA5906
F203517\t1\tNAF203517
UCF20\t1\tNUCF20-AB
CF3\t1\tCF3UUA
I121623\t1\tIRZ121623
CF16V\t1\tCFT16VUU
CFH12\t1\tCFH12-1UURAB
CFH20\t1\tCFH20-1UURAB
CFH30R\t1\tCFH30UURAB
CFH10R\t1\tCFH10UURA
R19HV1VSU\t1\t45BER19HTXV1VSU-01
S694\t1\tS694ZZ
CF12VR\t1\tCF12VUURAB
S185024\t1\tSL185024
F9549\t1\tJF9549-90KA1
S50110HP2\t1\tBSN50110DDUHP2B
UC12\t1\tUCX12G2
CRV20H\t1\tCRV20XLLH/3AS
RV10H\t1\tKRV10LLH/3AS
H0509F\t1\tHK0509FM
H1616F\t1\tHK1616F
H1816F\t1\tHK1816F
H2212F\t1\tHK2212FM
H2516F\t1\tHK2516F
H2816F\t1\tHK2816F
H20F\t1\tHK3020F
H26F\t1\tHK3026F
H3512F\t1\tHK3512F
H3516F\t1\tHK3516F
H4016F\t1\tHK4016F
H1416V10\t1\tHMK1416V10
H2515F\t1\tHMK2515F
H2620V1\t1\tHMK2620BV1
H4015V3\t1\tHMK4015V3
405017V1\t1\tRNA0-40X50X17V1
CSUHP7C\t1\t50TAC100CSUHPN7C
S6800W7\t1\tS6800ZZW7
H350\t1\t6200BHTSFB350
30D01\t1\tZA-30BWD01A-A-CA8-01
35D07C123**\t1\tZA-35BWD07CA123**
38D09120**\t1\tZA-38BWD09ACA120**
380C41**\t1\tZA-38BWD10BCA41**
382C133**\t1\tZA-38BWD12CA133**
382C145**\t1\tZA-38BWD12CA145**
38D21C53**\t1\tZA-38BWD21CA53**
38D22C96\t1\tZA-38BWD22LCA96-01LB
38D23\t1\tZA-/HO/38BWD23A-JB01
38D24C78**\t1\tZA-38BWD24CA78**
38D2768**S01\t1\tZA-38BWD27ACA68**S01
40D06\t1\tZA-40BWD06A-JB-5CA01
402C88**\t1\tZA-40BWD12CA88**
421C56**\t1\tZA-42BWD11CA56**
43D03C133**\t1\tZA-43BWD03CA133**
45D07C78**\t1\tZA-45BWD07BCA78**
450C86**\t1\tZA-45BWD10CA86**
402FC88**\t1\tZA-40BWD12FCA88**
43D08C103**\t1\tZA-43BWD08CA103**
45086**\t1\tZA-45BWD10ACA86**
456C103**\t1\tZA-45BWD16CA103**
48D022C97**\t1\tZA-48BWD02A2CA97**
CF18R\t1\tCF18RAB
CF24\t1\tCF24UUAB
CF20V\t1\tCF20VUUAB
CF20VR\t1\tCF20VUURAB
CF24V\t1\tCF24VUUAB
CF24VR\t1\tCF24VUURAB
CF30\t1\tCF30-2VUURAB
2VR\t1\tCF30-2VUURAB
IR505525\t1\tIR505525
IR657530\t1\tIR657530
IR253026.5\t1\tIR253026.5
IR71010.5\t1\tIR71010.5
IR81210\t1\tIR81210
IR81212.5\t1\tIR81212.5
IR8510063\t1\tIR8510063
IR9010535\t1\tIR9010535
I253018\t1\tIRZ253018
I354221\t1\tIRZ354221
SC0419CS34P1\t1\tSC04B19CS34PX1/3ASQHK
H04\t1\t1AH04-11/16LLMCSL866
16CS866\t1\t1AH04-11/16LLMCSL866
H2313\t1\tH2313
H3130\t1\tH3130
R6914\t1\tRNA6914
S2542\t1\tAS2542
S3552\t1\tAS3552
IR404520\t1\tIR40X45X20
IR303530\t1\tIR30X35X30
S7095\t1\tAS7095
IR11613\t1\tIR12X16X13
IR11516\t1\tIR12X15X16
IR303520\t1\tIR30X35X20
IR202530\t1\tIR20X25X30
IR22817\t1\tIR22X28X17
IR354030\t1\tIR35X40X30
IR405022\t1\tIR40X50X22
IR151816\t1\tIR15X18X16
IR556025\t1\tIR55X60X25
IR202520\t1\tIR20X25X20
IR8112\t1\tIR8X12X12,5
UP2212\t1\tNUP2212EW
S183006\t1\tSL183006
UP2207\t1\tNUP2207EW
G2520\t1\tEGB2520-E50-Y
S030\t1\tJK0S030
S61907\t1\tS61907-2RSR-HLC
HS364430\t1\t7E-HKS36X44X30-1PX1
1P1\t1\t7E-HKS36X44X30-1PX1
G11060\t1\tEGB11060-E40-Y
U222\t1\tNU222-E-XL-TVP2
WS22212\t1\tWS22212-E1-XL-K-2RSR
G2425\t1\tEGB2425-E40-Z
G2515\t1\tEGB2515-E50-Y
G2525\t1\tEGB2525-E50-Y
G2530\t1\tEGB2530-E50-Y
G2820\t1\tEGB2820-E40-Z
G3530\t1\tEGB3530-E50-Y
G6050\t1\tEGB6050-E40-B-Y
R5108\t1\tRNAO5X10X8-TV-XL
RR+C\t1\tGC1108KRRB+COL
GW28\t1\tEGW28-E40-Z
GW52\t1\tEGW52-E50-Y
CS32\t1\tTMB207X46JR2CS32-2PX35
2P35\t1\tTMB207X46JR2CS32-2PX35
W1\t1\tWBB1-8706-2Z
UP2219\t1\tNUP2219/C3
8U\t1\tLR50/8NPPU
V210\t1\tL44649/610/QVK210
H208+FS\t1\tH208+FS
UP2309\t1\tNUP2309
S183008\t1\tSL183008
S183009\t1\tSL183009
S183012\t1\tSL183012
2S>V\t1\t6200-C-2HRS>V
CS305\t1\tCS305LLU
H24180\t1\tAOH24180
W208RR6\t1\tW208KRRB6
DC1612\t1\tDCL1612
301.2.16\t1\tMTR-30x1.2.16-8
IR35421\t1\tIR35X42X21
F2575\t1\tZKLF2575-2RS
D5522\t1\t35BD5522
H518445\t1\tHM518445/HM518410
H518410\t1\tHM518445/HM518410
UP2210\t1\tNUP2210ETN
UP2211\t1\tNUP2211ETN
R6905\t1\tRNA6905
R6907\t1\tRNA6907
S212\t1\tAS212
UP206\t1\tNUP206ETN
UP210\t1\tNUP210ETN
S211\t1\tAS211
CPH89446\t1\tHI-CAPHM89446/10
H212011\t1\tHM212047/HM212011
H801349\t1\tHM801349/HM801310
H913849\t1\tH913849/H913810
S202\t1\tAS202
GH20\t1\tGEH20ES-2RS
GH50\t1\tGEH50ES-2RS
PWR17\t1\tPWTR17-2RS
+P\t1\t4.058+AP 3-Q
V405\t1\t22338EAW33VA405
H3036\t1\tH3036
H220149\t1\tHM220149/HM220110
H220110\t1\tHM220149/HM220110
IR172016\t1\tIR17X20X16
R32\t1\tKRE32PP
FR25015\t1\tFR250X15
FR20021\t1\tFR200X21
S519G\t1\tTSN519G
S528G\t1\tTSN528G
H3032\t1\tH3032
S2035\t1\tAS2035
D355222\t1\tDAC355222
D355520\t1\tDAC355520
F305\t1\tNF305
FR3\t1\tFR3-2Z
S185008\t1\tSL185008
P040\t1\tPAP5040
IR5710\t1\tIR5X7X10
D5417\t1\t38BD5417
H1715\t1\tHMK1715
H1725\t1\tHMK1725
S014916\t1\tSL014916
S014918\t1\tSL014918
S014922\t1\tSL014922
S183013\t1\tSL183013
S183004\t1\tSL183004
S182205\t1\tSL182205
S182207\t1\tSL182207
S182208\t1\tSL182208
S182209\t1\tSL182209
S182214\t1\tSL182214
P252830\t1\tPCM252830M
S623\t1\tS623-2Z
R202813\t1\tRNAO20X28X13
R101710\t1\tRNAO10X17X10
R6138\t1\tRNAO6X13X8
R7148\t1\tRNAO7X14X8
R253517\t1\tRNAO25X35X17
D4718\t1\t32BD4718
S185007\t1\tSL185007
S185009\t1\tSL185009
S185010\t1\tSL185010
S185004\t1\tSL185004
S185011\t1\tSL185011
S185020\t1\tSL185020
S185016\t1\tSL185016
S185015\t1\tSL185015
S185014\t1\tSL185014
S528S\t1\tTSN528S
R3570\t1\tZARN3570
R2062\t1\tZARN2062
R5090\t1\tZARN5090
R2557\t1\tZARN2557
R50110\t1\tZARN50110
R45105\t1\tZARN45105
R4580\t1\tZARN4580
R3080\t1\tZARN3080
R2572\t1\tZARN2572
RIS206\t1\tRIS206
RIS208\t1\tRIS208
S506G\t1\tTSN506G
HH224346\t1\tHH224346/HH224310
IR202526.5\t1\tIR20X25X26.5
PP1410\t1\tPAP1410
R23013\t1\tRNAO22X30X13
S216G\t1\tTSN216G
U1040\t1\tNU1040M
S307G\t1\tTSN307G
S312G\t1\tTSN312G
S313G\t1\tTSN313G
GSH30\t1\tGSH30-2RSR-B
C035\t1\tCSXA035
R4824\t1\tRNA4824
R4822\t1\tRNA4822
R4830\t1\tRNA4830
S6590\t1\tAS6590
F2068\t1\tZKLF2068-2RS
F1762\t1\tZKLF1762-2RS
U1008\t1\tNU1008M
U1010\t1\tNU1010M
U101\t1\tNU1011M
U1014\t1\tNU1014M
U1017\t1\tNU1017M
U1018\t1\tNU1018M
U102\t1\tNU1021M
U1036\t1\tNU1036M
UP2213\t1\tNUP2213ETN
UP2215\t1\tNUP2215ETN
IR505540\t1\tIR50X55X40
SU12\t1\tASNU12
F309\t1\tNF309
G44\t1\tGE44ZO-2RS
R4917\t1\tRNA4917
R6908\t1\tRNA6908
I5911\t1\tNKIA5911
I5912\t1\tNKIB5912
IS35\t1\tNKIS35
IS45\t1\tNKIS45
IS50\t1\tNKIS50
IS55\t1\tNKIS55
S24\t1\tNKS24
S28\t1\tNKS28
S43\t1\tNKS43
S100135\t1\tAS100135
S130170\t1\tAS130170
S75100\t1\tAS75100
S85110\t1\tAS85110
WS81102\t1\tWS81102
WS81103\t1\tWS81103
WS81108\t1\tWS81108
WS81113\t1\tWS81113
WS81116\t1\tWS81116
WS81118\t1\tWS81118
WS81206\t1\tWS81206
WS81207\t1\tWS81207
WS81208\t1\tWS81208
WS81209\t1\tWS81209
WS81210\t1\tWS81210
WS81211\t1\tWS81211
WS81216\t1\tWS81216
R1747\t1\tZARN1747
R1545\t1\tZARN1545
PP3030\t1\tPAP3030
IR303526\t1\tIR30X35X26
IR172030.5\t1\tIR17X20X30.5
H1720\t1\tHMK1720
IR253038.5\t1\tIR25X30X38.5
R405017\t1\tRNAO40X50X17
U2203\t1\tNU2203ETN
IR253026\t1\tIR25X30X26,5
F1560\t1\tZKLF1560-2RS
D304720\t1\tDAC304720
D304722\t1\tDAC304722
F40100\t1\tZKLF40100-2RS
S613G\t1\tTSN613G
U416\t1\tNU416M
UP2314\t1\tNUP2314
S516S\t1\tTSN516S
R4916\t1\tRNA4916
U1060\t1\tNU1060M
U324\t1\tNU324/C3
RV6\t1\tKRVE16PP
H1815\t1\tHMK1815
GS81115\t1\tGS81115
WS81115\t1\tWS81115
UP2204\t1\tNUP2204ETN
WS81120\t1\tWS81120
S551001\t1\tBS55100TN1P4GA
S501001\t1\tBS50100TN1P4GA
S45751\t1\tBS4575TN1P4GA
S451001\t1\tBS45100TN1P4GA
S40721\t1\tBS4072TN1P4GA
S35721\t1\tBS3572TN1P4GA
S20471\t1\tBS2047TN1P4GA
S014932\t1\tSL014932
S024920\t1\tSL024920
