Total unknown suffix patterns: 2748
Modification types in DB: 153
Precision classes in DB: 12

3S\t223\tKR16FXLL/3AS, HMK2218L/3AS, KRV16FLL/3AS, KRV26FLL/3AS, KRV19FLL/3AS
H803145\t4\tHM803145/10, HM803145/HM803110, 4T-HM803145/HM803110
H1620\t4\tHK1620-2RS-L271, HK1620-2RS, HMK1620
I5903\t4\tNKIA5903-XL, NKIB5903-XL, NKIB5903, NKIA5903
R201\t4\tLR201-2RSR, RNAB201, LR201-RRU, RNAB201X
R5203\t4\tLR5203-2HRS-TVH-XL, LR5203-X-2Z-TVH-XL, LR5203KDDU, LR5203-2Z
CF16\t4\tCF16UU, CFT16A, CFT16UUA, CFT16
I5\t4\tNKI5/12, NKI5/16
I7\t4\tNKI7/12, NKI7/16
SH2\t4\t83B763BSH2C3, 83A174ASH2C3, 83B569AASH2-9TCS39, 6309SH2
F607\t4\tF607-2RSP, F607ZZ, F607-2Z, F607-2RS
H89443\t4\tHM89443/10, 4T-HM89443/HM89410, HM89443-99401, HM89443/HM89410
W01\t4\t25KW01, 40KW01, 50KW01, 45KW01
D45\t4\t32BD45-A-1T12DDUCG21, 32BD45, 40BD45
H0709\t4\tHK0709
H1210\t4\tHK1210, HK1210-B
H1212\t4\tHK1212
H1612\t4\tHK1612
H16\t4\tHK3016LL/3AS, HK3016, HK3016-2RS
H3516\t4\tHK3516LL/3AS, HK3516B, HK3516, HK3516-2RS
H5020\t4\tHK5020
R9\t4\tRLS9, RLS9-2Z, RLS9-2RS, KRE19PP
HI\t4\tHI-CAP25590/23, HK1518-RS-HLI-L271, HI-CAP15118/250, HI-CAPHM89446/10
U09\t4\tUC309, UC309-27
R4902\t4\tRNA4902UU, RNA4902L/3AS, RNA4902, RNA4902-2RS
H2010\t4\tHC32010JR, HK2010-B, HK2010
H88649\t4\tHM88649A-99401, HM88649/HM88610, HM88649/10, EQ-HM88649/HM88610
I9\t4\tNKI9/16, NKI9/12
H4012\t4\tHK4012, HK4012B
RV35\t4\tKRV35PP/EQ, KRV35XLL/3AS, KRV35LL/3AS, KRV35-2RS-X
U218\t4\tNU218, NU218EW, UEL218, NU218ETN
U2311\t4\tNU2311, NU2311ETN, NU2311EW, NU2311EM
H0910\t4\tHK0910
WD\t4\tBK1522ZWD, BK2538ZWD, BK3038ZWD, BK1622ZWD
S45\t4\tNKS45, NAST45
H3050\t4\tKH3050PP, KH3050
RV40\t4\tKRV40/3AS, KRV40LL/3AS, KRV40-2RS-X, KRV40-2RS
H2530\t4\tHMK2530, HK2530-2RS
R80H\t4\tNUKR80XH/3AS, KR80XLLH/3AS, KR80H, KR80LLH/3AS
U312\t4\tNU312, UEL312, NU312ETN
I95\t4\tNKI95/36, NKI95/26
U215\t4\tNU215, UEL215, NU215ETN, NU215EW
H801310\t4\t4T-HM801346X/HM801310, 4T-HM801346/HM801310, HM801346/HM801310, HM801349/HM801310
H212049\t4\t4T-HM212049/HM212010, HM212049/10, HM212049/HM212010, HM212049/11
H88510\t4\t4T-HM88542/HM88510, HM88542/HM88510, HM88547/HM88510
H26\t4\tHMK3026LL/3AS, HK3026
RV19\t4\tKRV19, KRV19/3AS, KRV19-X, KRV19-2RS
S0821\t4\tAS0821
S1024\t4\tAS1024
S1226\t4\tAS1226
H1015\t4\tHK1015A, HK1015, HMK1015
H24\t4\tHK3024-2RS, HK3024-2RSAS1, HK3024
FR5301\t4\tLFR5301-10-2Z, LFR5301KDD, LFR5301-20KDD, LFR5301-20NPP
H208\t4\tH208, H208X
H0824\t4\tKH0824, KH0824PP
U316\t4\tNU316EW, NU316ETN/C3, NU316ETN, NU316
U15\t4\tUC215, UC215-48G2, UC215G2, UC215-48
U313\t4\tNU313, UEL313, NU313EM/C3, NU313ETN
F698\t4\tF698ZZ, F698-2Z
UP2206\t4\tNUP2206ET, NUP2206EG15, NUP2206ETN, NUP2206EW
H2816\t4\tHK2816A, HK2816
I20\t4\tNKI20/16, NKI20/20
HG1U\t4\t7202HG1UJ74, 7204HG1UJ74, 7206HG1UJ74, 7207HG1UJ74
1V\t4\tCF10-1VUUA, CF12-1VUUAB, CF10-1VUU, CFT12-1VUUA
S209\t4\tAS209, AS209-26, AS209-27, AS209-28
I32\t4\tNKI32/30, NKI32/20
I50\t4\tNKI50/25, NKI50/35
I60\t4\tNKI60/25, NKI60/35
R16F\t3\tKR16F, KR16FXLL/3AS, KR16FLL/3AS
P20\t3\tPAP1020, PNA20/42-XL, PNA20/42
S684\t3\tS684ZZ, S684, S684-2Z
H305\t3\tH305
S6001\t3\tS6001-2RS
